Fecha;Kennedy - Ken;Carvajal - Carv;Centro de Alto rendimiento - CdAR;Usaquén - Usaq;Fontibón - Fon;Puente Aranda - Puen;San Cristóbal - SanC;Tunal - Tunal;Guaymaral - Gua;Las Ferias - LFer;MinAmbiente - MinA;Suba - Suba
2016-01;85;95;57;;;75;54;76;50;64;56;69
2016-02;;91;42;51;;62;33;66;41;48;41;67
2016-03;;88;51;;;69;41;;48;54;49;67
2016-04;64;;;43;;54;;;;42;42;
2016-05;54;67;23;30;;44;17;38;22;;27;
2016-06;46;65;18;28;;38;;32;21;24;23;44
2016-07;45;;16;27;;34;15;29;22;23;21;45
2016-08;53;67;20;32;;40;17;35;26;28;22;
2016-09;53;67;29;38;;42;20;38;29;35;26;
2016-10;53;71;38;50;;50;22;49;34;41;35;43
2016-11;50;79;42;46;;55;25;62;29;45;35;41
2016-12;61;84;41;39;;62;28;54;;43;37;51
