fecha;Kennedy - Ken;Carvajal - Carv;Centro de Alto rendimiento - CdAR;Usaquén - Usaq;Puente Aranda - Puen;San Cristóbal - SanC;Tunal - Tunal;Guaymaral - Gua;Las Ferias - LFer;MinAmbiente - MinA;Suba - Suba
2014-01;36;;18;10;;;18;;17;;
2014-02;41;48;29;17;;;28;;28;;
2014-03;42;46;31;23;;;35;;;;35
2014-04;32;29;20;13;;;23;;20;14;24
2014-05;32;30;22;14;;11;24;;20;14;22
2014-06;23;33;13;9;;9;16;;;13;14
2014-07;;31;10;6;;5;12;;8;10;14
2014-08;24;32;13;;;6;17;;;12;17
2014-09;25;;;;;8;18;;16;14;
2014-10;30;33;;13;;8;27;;;18;21
2014-11;30;;23;15;;11;31;17;;22;23
2014-12;37;34;24;16;;13;30;18;;26;26
﻿fecha;Kennedy - Ken;Carvajal - Carv;Centro de Alto rendimiento - CdAR;Usaquén - Usaq;Puente Aranda - Puen;San Cristóbal - SanC;Tunal - Tunal;Guaymaral - Gua;Las Ferias - LFer;MinAmbiente - MinA;Suba - Suba
2015-01;29;28;20;11;;10;22;16;;18;23
2015-02;34;36;25;;;13;29;19;;23;30
2015-03;34;34;27;20;;15;31;20;26;25;33
2015-04;27;30;16;;;8;20;13;16;15;22
2015-05;29;28;15;11;;9;20;13;16;14;22
2015-06;19;25;9;8;;5;13;8;10;8;15
2015-07;21;27;10;9;;5;15;9;12;9;15
2015-08;22;27;12;10;;5;16;9;14;10;17
2015-09;28;34;14;14;;7;19;12;14;10;20
2015-10;28;40;20;15;;8;22;13;17;14;22
2015-11;28;33;20;17;;10;25;17;20;15;
2015-12;25;28;14;11;;8;20;13;13;12;19
﻿fecha;Kennedy - Ken;Carvajal - Carv;Centro de Alto rendimiento - CdAR;Usaquén - Usaq;Puente Aranda - Puen;San Cristóbal - SanC;Tunal - Tunal;Guaymaral - Gua;Las Ferias - LFer;MinAmbiente - MinA;Suba - Suba
2016-01;43;39;34;;;23;39;26;31;33;32
2016-02;;38;25;24;;15;29;21;24;23;32
2016-03;36;37;33;34;;24;36;28;28;29;35
2016-04;29;29;22;21;;;25;15;21;21;24
2016-05;25;25;13;10;;6;17;10;11;11;14
2016-06;22;27;10;9;;6;12;10;8;11;
2016-07;22;21;9;11;;5;11;6;8;7;
2016-08;28;25;11;9;;7;14;11;;10;
2016-09;30;;15;11;;7;17;;15;12;
2016-10;33;;21;16;20;10;24;18;18;19;
2016-11;33;;24;18;23;11;30;15;22;20;17
2016-12;35;;24;16;25;11;28;16;21;21;22
﻿fecha;Kennedy - Ken;Carvajal - Carv;Centro de Alto rendimiento - CdAR;Usaquén - Usaq;Puente Aranda - Puen;San Cristóbal - SanC;Tunal - Tunal;Guaymaral - Gua;Las Ferias - LFer;MinAmbiente - MinA;Suba - Suba
2017-01;15;24;19;23;17;17;20;24;26;18;9
2017-02;34;29;24;22;24;15;30;23;24;22;26
2017-03;30;30;;;22;16;28;18;21;24;21
2017-04;27;30;;16;20;12;23;18;;17;22
2017-05;24;27;;;18;9;19;11;13;;14
2017-06;24;27;;19;17;17;14;11;13;;9
2017-07;19;24;8;11;10;10;11;;;8;7
2017-08;25;29;10;9;14;9;16;12;12;9;16
2017-09;25;29;13;11;15;11;15;14;15;12;18
2017-10;26;29;13;11;16;13;20;13;14;15;16
2017-11;32;34;19;19;23;20;28;16;25;;22
2017-12;30;30;18;14;21;19;23;19;18;;22
﻿Periodo;"Kennedy - Ken
(µg/m³)";"Carvajal - Carv
(µg/m³)";"Centro de Alto rendimiento - CdAR
(µg/m³)";"Usaquén - Usaq
(µg/m³)";"Puente Aranda - Puen
(µg/m³)";"San Cristóbal - SanC
(µg/m³)";"Tunal - Tunal
(µg/m³)";"Guaymaral - Gua
(µg/m³)";"Las Ferias - LFer
(µg/m³)";"MinAmbiente - MinA
(µg/m³)";"Suba - Suba
(µg/m³)";"Fontibon - Font25
(µg/m³)"
2019-01;25;29;15;15;18;13;16;14;13;14;17;14
2019-02;35;49;26;24;25;18;25;23;20;21;26;22
2019-03;37;52;28;27;27;21;28;25;28;25;29;25
2019-04;28;38;19;18;20;14;20;15;19;18;18;24
2019-05;23;34;13;12;18;9;15;10;12;13;11;18
2019-06;16;30;7;8;12;;8;7;8;7;8;13
2019-07;18;30;8;9;12;5;8;8;8;7;10;14
2019-08;20;34;10;10;;;11;12;10;10;15;16
2019-09;24;34;12;12;;;11;11;8;11;14;18
2019-10;26;38;14;10;NaN;NaN;15;11;1;12;14;20
2019-11;26;33;15;14;NaN;NaN;17;13;14;14;16;19
2019-12;27;34;13;12;15;8;15;14;16;13;15;20
